tconst	primaryTitle	startYear	genres	rating	votes
tt10174052	Once Upon a Time in Hollyweird	2024	Thriller	2.0	151
tt0112697	Clueless	1995	Comedy,Romance	6.9	261547
tt0457430	Pan's Labyrinth	2006	Drama,Fantasy,War	8.2	723163
tt0067328	The Last Picture Show	1971	Drama,Romance	8.0	54812
tt0266308	Battle Royale	2000	Adventure,Drama,Thriller	7.5	200473
tt0095631	Midnight Run	1988	Action,Comedy,Crime	7.5	98940
tt0200541	The Salesman	2001	\N	6.0	17
tt0170016	How the Grinch Stole Christmas	2000	Comedy,Family,Fantasy	6.4	311792
tt0078754	All That Jazz	1979	Drama,Music,Musical	7.8	37626
tt0072684	Barry Lyndon	1975	Adventure,Drama,War	8.1	192411
tt0113824	Whisper of the Heart	1995	Animation,Drama,Family	7.8	78065
tt0454876	Life of Pi	2012	Adventure,Drama,Fantasy	7.9	683780
tt0075860	Close Encounters of the Third Kind	1977	Drama,Sci-Fi	7.6	224899
tt0072890	Dog Day Afternoon	1975	Biography,Crime,Drama	8.0	281257
tt0093058	Full Metal Jacket	1987	Drama,War	8.2	819318
tt0072271	The Texas Chain Saw Massacre	1974	Horror	7.4	197313
tt0167255	The Lighthouse	1997	\N	8.3	11
tt0100263	La Femme Nikita	1990	Action,Crime,Drama	7.3	78958
tt10370710	The Worst Person in the World	2021	Comedy,Drama,Romance	7.7	110147
tt0070422	Mustang	1973	Drama	6.5	49
tt16277242	Society of the Snow	2023	Adventure,Biography,Drama	7.8	160806
tt0181875	Almost Famous	2000	Adventure,Comedy,Drama	7.9	303235
tt0094721	Beetlejuice	1988	Comedy,Fantasy	7.5	401982
tt1032846	4 Months, 3 Weeks and 2 Days	2007	Drama	7.9	64597
tt0314331	Love Actually	2003	Comedy,Drama,Romance	7.6	557913
tt0077405	Days of Heaven	1978	Drama,Romance	7.7	65632
tt0300140	Lilya 4-Ever	2002	Crime,Drama	7.8	52298
tt10288566	Another Round	2020	Comedy,Drama	7.7	211643
tt0103772	Basic Instinct	1992	Drama,Mystery,Thriller	7.1	231053
tt0073626	Revolver	1973	Crime,Drama,Thriller	6.9	2542
tt0082096	Das Boot	1981	Drama,War	8.4	278545
tt0268126	Adaptation.	2002	Comedy,Drama	7.7	208455
tt0327056	Mystic River	2003	Crime,Drama,Mystery	7.9	502710
tt0073540	Picnic at Hanging Rock	1975	Drama,Mystery	7.4	43348
tt0125551	Thirteen	1997	Drama	8.4	67
tt0076786	Suspiria	1977	Horror	7.3	111536
tt0118789	Buffalo '66	1998	Comedy,Drama,Romance	7.4	64024
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	Action,Adventure,Fantasy	8.1	1261573
tt0142184	Close	1993	Crime,Drama	3.1	67
tt0092296	Night Crawl	1989	Drama,Fantasy,Horror	2.7	250
tt0088680	After Hours	1985	Comedy,Crime,Drama	7.6	87979
tt0070666	Serpico	1973	Biography,Crime,Drama	7.7	140527
tt0758758	Into the Wild	2007	Adventure,Biography,Drama	8.0	677638
tt0097108	The Cook, the Thief, His Wife & Her Lover	1989	Crime,Drama	7.5	43390
tt0068903	Malcolm X	1972	Biography,Documentary	7.5	558
tt0268978	A Beautiful Mind	2001	Biography,Drama,Mystery	8.2	1019490
tt0069293	Solaris	1972	Drama,Mystery,Sci-Fi	7.9	101633
tt0112641	Casino	1995	Crime,Drama	8.2	590021
tt0083190	Thief	1981	Action,Crime,Drama	7.4	43430
tt1045658	Silver Linings Playbook	2012	Comedy,Drama,Romance	7.7	758478
tt0082085	Blow Out	1981	Crime,Drama,Mystery	7.4	69322
